exp=20, L=32, B=16, G=512
0 295947 0.1702s 0.1624s
exp=22, L=32, B=256, G=8192
1 295947 0.1623s 0.1568s
0 295947 0.1595s 0.1629s
0 295947 0.1560s 0.1660s
0 295947 0.1610s 0.1641s
1 295947 0.1625s 0.1647s
0 295947 0.1711s 0.1624s
0 295947 0.1657s 0.1592s
0 295947 0.1627s 0.1563s
0 295947 0.1591s 0.1629s
1 295947 0.1561s 0.1659s
exp=22, L=64, B=16, G=1024
0 295947 0.5725s 0.5784s
0 295947 0.5752s 0.5750s
0 295947 0.5759s 0.5807s
0 295947 0.5797s 0.5802s
0 295947 0.5780s 0.5814s
0 295947 0.5740s 0.5797s
0 295947 0.5777s 0.5767s
0 295947 0.5742s 0.5830s
0 295947 0.5773s 0.5751s
0 295947 0.5756s 0.5795s
exp=22, L=64, B=32, G=2048
0 295947 0.3088s 0.3072s
0 295947 0.3073s 0.3086s
1 295947 0.3123s 0.3103s
0 295947 0.3135s 0.3088s
0 295947 0.3052s 0.3078s
0 295947 0.3039s 0.3149s
1 295947 0.3128s 0.3057s
0 295947 0.3078s 0.3060s
0 295947 0.3026s 0.3152s
0 295947 0.3087s 0.3100s
exp=22, L=64, B=64, G=4096
0 295947 0.1663s 0.1709s
0 295947 0.1726s 0.1665s
0 295947 0.1680s 0.1678s
0 295947 0.1678s 0.1615s
0 295947 0.1677s 0.1663s
0 295947 0.1618s 0.1711s
1 295947 0.1649s 0.1715s
0 295947 0.1727s 0.1679s
1 295947 0.1680s 0.1693s
0 295947 0.1679s 0.1631s
exp=22, L=64, B=128, G=8192
1 295947 0.1069s 0.1029s
1 295947 0.1033s 0.1063s
0 295947 0.1063s 0.1058s
0 295947 0.1064s 0.1032s
0 295947 0.1103s 0.1028s
0 295947 0.1086s 0.1067s
0 295947 0.1081s 0.1074s
0 295947 0.1067s 0.1078s
1 295947 0.1018s 0.1098s
0 295947 0.1016s 0.1072s
exp=22, L=64, B=256, G=16384
0 295947 0.0993s 0.0959s
0 295947 0.0942s 0.0942s
0 295947 0.0961s 0.0939s
1 295947 0.0940s 0.0955s
0 295947 0.0940s 0.0938s
0 295947 0.0943s 0.0938s
1 295947 0.0962s 0.0939s
0 295947 0.0939s 0.0939s
1 295947 0.0942s 0.0938s
1 295947 0.0941s 0.0937s
exp=22, L=128, B=16, G=2048
0 295947 0.2907s 0.2929s
1 295947 0.2928s 0.2910s
0 295947 0.2926s 0.2908s
1 295947 0.2909s 0.2929s
0 295947 0.2926s 0.2909s
0 295947 0.2909s 0.2929s
0 295947 0.2928s 0.2930s
0 295947 0.2929s 0.2911s
0 295947 0.2904s 0.2926s
1 295947 0.2923s 0.2904s
exp=22, L=128, B=32, G=4096
0 295947 0.1570s 0.1585s
0 295947 0.1571s 0.1589s
0 295947 0.1571s 0.1589s
0 295947 0.1570s 0.1588s
0 295947 0.1587s 0.1570s
0 295947 0.1593s 0.1569s
1 295947 0.1588s 0.1565s
1 295947 0.1591s 0.1567s
0 295947 0.1596s 0.1567s
1 295947 0.1572s 0.1568s
exp=22, L=128, B=64, G=8192
1 295947 0.0992s 0.1000s
0 295947 0.1013s 0.1001s
0 295947 0.1010s 0.1003s
0 295947 0.0991s 0.1023s
0 295947 0.0993s 0.1000s
0 295947 0.0994s 0.1001s
0 295947 0.0993s 0.1002s
0 295947 0.0996s 0.1001s
1 295947 0.1014s 0.1001s
0 295947 0.0992s 0.1022s
exp=22, L=128, B=128, G=16384
1 295947 0.0940s 0.0938s
1 295947 0.0940s 0.0937s
0 295947 0.0943s 0.0938s
0 295947 0.0944s 0.0936s
0 295947 0.0940s 0.0935s
0 295947 0.0940s 0.0954s
0 295947 0.0940s 0.0936s
0 295947 0.0940s 0.0937s
1 295947 0.0938s 0.0935s
1 295947 0.0956s 0.0938s
exp=22, L=128, B=256, G=32768
1 295947 0.0807s 0.0819s
0 295947 0.0809s 0.0804s
0 295947 0.0807s 0.0802s
0 295947 0.0823s 0.0803s
0 295947 0.0809s 0.0811s
0 295947 0.0809s 0.0804s
0 295947 0.0808s 0.0804s
0 295947 0.0807s 0.0804s
0 295947 0.0806s 0.0827s
0 295947 0.0807s 0.0804s
exp=22, L=256, B=16, G=4096
0 295947 0.1718s 0.1720s
1 295947 0.1716s 0.1782s
1 295947 0.1715s 0.1704s
0 295947 0.1716s 0.1706s
1 295947 0.1717s 0.1703s
1 295947 0.1717s 0.1703s
1 295947 0.1719s 0.1704s
1 295947 0.1715s 0.1702s
1 295947 0.1716s 0.1703s
1 295947 0.1717s 0.1705s
exp=22, L=256, B=32, G=8192
1 295947 0.1100s 0.1093s
1 295947 0.1098s 0.1094s
0 295947 0.1100s 0.1092s
0 295947 0.1100s 0.1094s
0 295947 0.1101s 0.1094s
0 295947 0.1100s 0.1094s
1 295947 0.1101s 0.1094s
1 295947 0.1099s 0.1093s
0 295947 0.1098s 0.1092s
1 295947 0.1099s 0.1093s
exp=22, L=256, B=64, G=16384
0 295947 0.0938s 0.0932s
1 295947 0.0938s 0.0935s
0 295947 0.0939s 0.0934s
1 295947 0.0936s 0.0932s
1 295947 0.0938s 0.0934s
1 295947 0.0938s 0.0932s
0 295947 0.0938s 0.0932s
1 295947 0.0937s 0.0932s
0 295947 0.0937s 0.0932s
1 295947 0.0937s 0.0932s
exp=22, L=256, B=128, G=32768
0 295947 0.0831s 0.0823s
0 295947 0.0832s 0.0824s
1 295947 0.0829s 0.0824s
1 295947 0.0829s 0.0823s
0 295947 0.0832s 0.0825s
0 295947 0.0830s 0.0823s
1 295947 0.0831s 0.0823s
1 295947 0.0831s 0.0824s
1 295947 0.0831s 0.0823s
1 295947 0.0831s 0.0824s
exp=22, L=256, B=256, G=65536
1 295947 0.0770s 0.0763s
0 295947 0.0770s 0.0764s
1 295947 0.0770s 0.0764s
1 295947 0.0771s 0.0763s
1 295947 0.0771s 0.0764s
1 295947 0.0769s 0.0762s
1 295947 0.0770s 0.0764s
1 295947 0.0769s 0.0764s
1 295947 0.0771s 0.0764s
0 295947 0.0771s 0.0765s
exp=22, L=512, B=16, G=8192
0 295947 0.1299s 0.1290s
1 295947 0.1300s 0.1289s
1 295947 0.1301s 0.1290s
1 295947 0.1298s 0.1290s
1 295947 0.1298s 0.1290s
1 295947 0.1301s 0.1291s
1 295947 0.1302s 0.1291s
1 295947 0.1301s 0.1290s
1 295947 0.1301s 0.1290s
1 295947 0.1301s 0.1290s
exp=22, L=512, B=32, G=16384
0 295947 0.1019s 0.1013s
0 295947 0.1080s 0.1018s
0 295947 0.1020s 0.1013s
1 295947 0.1020s 0.1012s
0 295947 0.1020s 0.1013s
1 295947 0.1020s 0.1013s
0 295947 0.1020s 0.1013s
0 295947 0.1021s 0.1014s
0 295947 0.1020s 0.1013s
0 295947 0.1018s 0.1013s
exp=22, L=512, B=64, G=32768
1 295947 0.0822s 0.0814s
1 295947 0.0822s 0.0815s
1 295947 0.0823s 0.0815s
1 295947 0.0819s 0.0814s
1 295947 0.0825s 0.0815s
1 295947 0.0821s 0.0813s
1 295947 0.0823s 0.0815s
0 295947 0.0823s 0.0814s
0 295947 0.0822s 0.0814s
1 295947 0.0820s 0.0814s
exp=22, L=512, B=128, G=65536
1 295947 0.0798s 0.0789s
1 295947 0.0799s 0.0790s
1 295947 0.0799s 0.0790s
0 295947 0.0800s 0.0791s
1 295947 0.0799s 0.0791s
1 295947 0.0800s 0.0792s
1 295947 0.0799s 0.0791s
1 295947 0.0798s 0.0791s
1 295947 0.0798s 0.0790s
1 295947 0.0798s 0.0790s
exp=22, L=512, B=256, G=131072
1 295947 0.0756s 0.0748s
1 295947 0.0754s 0.0748s
0 295947 0.0754s 0.0748s
0 295947 0.0756s 0.0748s
1 295947 0.0755s 0.0747s
1 295947 0.0756s 0.0749s
1 295947 0.0756s 0.0749s
1 295947 0.0754s 0.0749s
1 295947 0.0756s 0.0748s
1 295947 0.0755s 0.0749s
exp=24, L=32, B=16, G=512
0 1077871 8.4265s 8.4777s
0 1077871 8.4262s 8.4770s
0 1077871 8.4243s 8.4752s
0 1077871 8.4251s 8.4785s
1 1077871 8.4129s 8.4627s
0 1077871 8.4120s 8.4627s
0 1077871 8.4115s 8.4631s
1 1077871 8.4113s 8.4624s
1 1077871 8.4128s 8.4645s
1 1077871 8.4127s 8.5224s
exp=24, L=32, B=32, G=1024
0 1077871 4.3542s 4.3828s
1 1077871 4.5389s 4.6373s
0 1077871 4.4675s 4.4189s
0 1077871 4.4181s 4.4521s
0 1077871 4.4377s 4.4542s
0 1077871 4.4269s 4.4531s
0 1077871 4.4296s 4.5705s
0 1077871 4.3329s 4.3597s
0 1077871 4.3599s 4.3858s
0 1077871 4.3593s 4.3856s
exp=24, L=32, B=64, G=2048
0 1077871 2.3140s 2.3195s
0 1077871 2.3228s 2.3358s
0 1077871 2.3300s 2.3285s
0 1077871 2.3129s 2.3296s
1 1077871 2.3288s 2.3359s
0 1077871 2.3136s 2.3200s
0 1077871 2.3246s 2.3417s
0 1077871 2.3200s 2.3236s
0 1077871 2.3131s 2.3322s
0 1077871 2.3272s 2.3368s
exp=24, L=32, B=128, G=4096
0 1077871 1.3243s 1.2463s
0 1077871 1.2422s 1.2459s
1 1077871 1.2590s 1.2553s
0 1077871 1.2429s 1.2459s
0 1077871 1.2418s 1.2457s
0 1077871 1.2506s 1.2543s
0 1077871 1.2415s 1.2460s
0 1077871 1.2433s 1.2483s
1 1077871 1.2489s 1.2544s
0 1077871 1.2515s 1.2545s
exp=24, L=32, B=256, G=8192
0 1077871 1.2487s 1.2239s
0 1077871 1.2390s 1.2149s
0 1077871 1.2093s 1.2159s
0 1077871 1.2182s 1.2245s
0 1077871 1.2495s 1.2241s
1 1077871 1.2092s 1.2154s
0 1077871 1.2398s 1.2160s
1 1077871 1.2149s 1.2243s
0 1077871 1.2100s 1.2163s
0 1077871 1.2096s 1.2156s
exp=24, L=64, B=16, G=1024
0 1077871 4.3381s 4.3906s
0 1077871 4.3345s 4.3647s
0 1077871 4.3659s 4.3900s
0 1077871 4.3353s 4.3849s
0 1077871 4.3342s 4.3660s
0 1077871 4.3345s 4.3747s
0 1077871 4.3648s 4.3905s
0 1077871 4.3353s 4.3843s
0 1077871 4.3345s 4.3668s
0 1077871 4.3643s 4.3895s
exp=24, L=64, B=32, G=2048
0 1077871 2.3356s 2.3417s
0 1077871 2.3192s 2.3249s
0 1077871 2.3297s 2.3418s
0 1077871 2.3183s 2.3264s
0 1077871 2.3199s 2.3425s
0 1077871 2.3345s 2.3433s
0 1077871 2.3187s 2.3267s
0 1077871 2.3188s 2.3379s
0 1077871 2.3361s 2.3415s
1 1077871 2.3178s 2.3250s
exp=24, L=64, B=64, G=4096
0 1077871 1.2493s 1.2572s
0 1077871 1.2523s 1.2566s
0 1077871 1.2436s 1.2480s
0 1077871 1.2435s 1.2481s
0 1077871 1.2514s 1.2568s
0 1077871 1.2514s 1.2570s
0 1077871 1.2424s 1.2477s
0 1077871 1.2443s 1.2554s
0 1077871 1.2523s 1.2564s
0 1077871 1.2452s 1.2478s
exp=24, L=64, B=128, G=8192
0 1077871 0.7756s 0.7910s
0 1077871 0.7808s 0.7960s
0 1077871 0.7749s 0.7899s
0 1077871 0.7756s 0.7902s
0 1077871 0.7751s 0.7900s
0 1077871 0.7748s 0.7903s
0 1077871 0.7804s 0.7961s
1 1077871 0.8150s 0.7684s
1 1077871 0.7532s 0.7681s
1 1077871 0.7530s 0.7677s
exp=24, L=64, B=256, G=16384
0 1077871 0.7142s 0.7184s
0 1077871 0.7147s 0.7206s
0 1077871 0.7145s 0.7174s
0 1077871 0.7143s 0.7176s
1 1077871 0.7146s 0.7178s
0 1077871 0.7145s 0.7178s
0 1077871 0.7143s 0.7174s
1 1077871 0.7149s 0.7179s
0 1077871 0.7146s 0.7179s
0 1077871 0.7143s 0.7175s
exp=24, L=128, B=16, G=2048
0 1077871 2.2602s 2.2660s
0 1077871 2.2557s 2.2629s
0 1077871 2.2561s 2.2636s
1 1077871 2.2825s 2.2660s
0 1077871 2.2541s 2.2616s
0 1077871 2.2539s 2.2619s
0 1077871 2.2538s 2.2613s
1 1077871 2.2541s 2.2615s
0 1077871 2.2538s 2.2612s
1 1077871 2.2537s 2.2612s
exp=24, L=128, B=32, G=4096
0 1077871 1.2065s 1.2102s
0 1077871 1.2064s 1.2100s
0 1077871 1.2065s 1.2108s
0 1077871 1.2065s 1.2105s
0 1077871 1.2065s 1.2103s
0 1077871 1.2063s 1.2102s
0 1077871 1.2062s 1.2101s
0 1077871 1.2063s 1.2103s
1 1077871 1.2103s 1.2200s
0 1077871 1.2408s 1.2509s
exp=24, L=128, B=64, G=8192
0 1077871 0.7735s 0.7885s
1 1077871 0.7732s 0.7887s
0 1077871 0.7737s 0.7893s
0 1077871 0.7736s 0.7886s
1 1077871 0.7735s 0.7883s
0 1077871 0.7735s 0.7910s
0 1077871 0.7797s 0.7943s
1 1077871 0.7734s 0.7877s
0 1077871 0.7738s 0.7878s
0 1077871 0.7729s 0.7879s
exp=24, L=128, B=128, G=16384
0 1077871 0.7167s 0.7187s
0 1077871 0.7224s 0.7247s
0 1077871 0.7222s 0.7254s
0 1077871 0.7168s 0.7184s
0 1077871 0.7169s 0.7185s
0 1077871 0.7183s 0.7195s
0 1077871 0.7186s 0.7196s
0 1077871 0.7200s 0.7204s
0 1077871 0.7235s 0.7242s
0 1077871 0.7263s 0.7269s
exp=24, L=128, B=256, G=32768
1 1077871 0.6293s 0.6331s
1 1077871 0.6298s 0.6343s
0 1077871 0.6292s 0.6337s
0 1077871 0.6332s 0.6396s
0 1077871 0.6357s 0.6402s
0 1077871 0.6301s 0.6338s
0 1077871 0.6292s 0.6329s
1 1077871 0.6358s 0.6401s
0 1077871 0.6349s 0.6396s
0 1077871 0.6354s 0.6387s
exp=24, L=256, B=16, G=4096
0 1077871 1.3577s 1.3483s
0 1077871 1.3570s 1.3485s
0 1077871 1.3669s 1.3572s
1 1077871 1.3680s 1.3580s
0 1077871 1.3672s 1.3582s
0 1077871 1.3574s 1.3485s
1 1077871 1.3570s 1.3477s
0 1077871 1.3656s 1.3581s
1 1077871 1.3681s 1.3576s
0 1077871 1.3567s 1.3484s
exp=24, L=256, B=32, G=8192
0 1077871 0.8631s 0.8636s
0 1077871 0.8644s 0.8698s
0 1077871 0.8706s 0.8697s
1 1077871 0.8699s 0.8701s
1 1077871 0.8713s 0.8703s
0 1077871 0.8630s 0.8633s
0 1077871 0.8633s 0.8637s
